,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,No of years,Brand
1659,200000,176000,Diesel,Individual,Manual,Second Owner,17.0,1461,66.0,5,12,Mahindra
1660,200000,150000,Diesel,Individual,Manual,First Owner,19.09,1396,69.0,5,8,Tata
1661,220000,90000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,5,Maruti
1662,500000,70000,Petrol,Individual,Manual,Second Owner,15.04,1598,103.2,5,7,Volkswagen
1663,175000,99000,Diesel,Individual,Manual,Second Owner,19.2,1461,65.0,5,14,Mahindra
1664,450000,5000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,3,Tata
1665,210000,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.52,1991,123.7,5,13,Chevrolet
1666,270000,89000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,10,Maruti
1667,110000,88000,Diesel,Individual,Manual,Second Owner,16.8,1405,62.0,5,15,Tata
1668,480000,30000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,6,Maruti
1669,650000,50000,Diesel,Individual,Automatic,Second Owner,26.59,1248,74.0,5,5,Maruti
1670,480000,80000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,8,Maruti
1671,700000,40000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,5,Hyundai
1672,650000,110000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7,6,Maruti
1673,1300000,48000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5,6,Hyundai
1674,1350000,97000,Diesel,Individual,Automatic,First Owner,16.96,1968,138.03,5,5,Volkswagen
1675,1000000,60000,Diesel,Individual,Automatic,First Owner,22.15,1498,108.6,5,5,Volkswagen
1676,1700000,110000,Diesel,Individual,Automatic,Third Owner,19.3,2987,165.0,5,10,Mercedes-Benz
1677,1080000,12800,Petrol,Individual,Automatic,First Owner,17.8,1496,105.5,5,3,Toyota
1678,170000,40000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,9,Hyundai
1679,610000,49000,Diesel,Individual,Manual,First Owner,28.4,1248,74.0,5,4,Maruti
1680,350000,25000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5,7,Maruti
1681,260000,65000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5,5,Maruti
1682,700000,20000,Diesel,Individual,Manual,First Owner,20.4,1248,91.7,5,6,Fiat
1683,678000,17000,Petrol,Individual,Manual,First Owner,18.78,999,75.0,5,3,Volkswagen
1684,800000,15000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5,6,Maruti
1685,400000,120000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.04,5,7,Toyota
1686,300000,49000,Petrol,Individual,Manual,First Owner,18.5,1197,80.0,5,11,Hyundai
1687,520000,29000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,5,Hyundai
1688,850000,55000,Diesel,Individual,Automatic,First Owner,19.61,1461,108.5,5,4,Nissan
1689,1460000,5000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,7,2,Mahindra
1690,830000,35000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5,4,Tata
1691,430000,5000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,3,Datsun
1692,850000,60000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,4,Ford
1693,650000,70000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,4,Maruti
1694,120000,120000,Diesel,Individual,Manual,Second Owner,16.8,1493,110.0,5,13,Hyundai
1695,730000,65100,Diesel,Individual,Manual,Second Owner,18.49,1493,100.0,7,5,Mahindra
1696,525000,20000,Petrol,Individual,Automatic,First Owner,20.89,1197,81.8,5,2,Maruti
1697,600000,108000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5,6,Hyundai
1698,500000,15000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,2,Maruti
1699,150000,77000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,12,Hyundai
1700,409999,18500,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,6,Maruti
1701,625000,120000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7,5,Mahindra
1702,290000,15200,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,6,Renault
1703,500000,35000,Petrol,Individual,Manual,First Owner,17.3,1497,117.3,7,6,Honda
1704,475000,80000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5,10,Hyundai
1705,190000,70000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,8,Hyundai
1706,750000,80000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,7,7,Mahindra
1707,525000,120000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.5,5,7,Nissan
1708,495000,82000,Diesel,Individual,Manual,Third Owner,17.3,1998,163.7,5,9,Chevrolet
1709,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5,4,Jaguar
1710,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,2,Lexus
1711,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5,4,Jaguar
1712,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,6,Tata
1713,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5,2,Volvo
1714,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5,5,Toyota
1715,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05,5,8,Maruti
1716,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,5,3,Maruti
1717,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5,5,Honda
1718,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7,8,Toyota
1719,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5,2,Maruti
1720,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5,4,Toyota
1721,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197,81.8,5,3,Maruti
1722,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,5,4,Hyundai
1723,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,2,BMW
1724,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,2,BMW
1725,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199,88.76,5,2,Honda
1726,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,5,Skoda
1727,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5,3,Volvo
1728,321000,60000,Petrol,Individual,Automatic,Second Owner,16.8,1497,118.0,5,11,Honda
1729,585000,50000,Petrol,Individual,Manual,First Owner,17.71,1197,78.9,5,4,Toyota
1730,225000,70000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,10,Ford
1731,500000,70000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5,4,Honda
1732,350000,90000,Diesel,Individual,Manual,Third Owner,23.0,1396,90.0,5,10,Hyundai
1733,756000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7,5,Maruti
1734,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,7,Maruti
1735,80000,120000,Petrol,Individual,Manual,Second Owner,19.7,796,35.0,8,9,Maruti
1736,800000,5000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,2,Hyundai
1737,1250000,25000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,3,Tata
1738,320000,80000,Diesel,Individual,Manual,Third Owner,12.05,2179,120.0,7,12,Mahindra
1739,509999,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,4,Hyundai
1740,650000,15000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5,2,Tata
1741,210000,35000,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,5,10,Maruti
1742,110000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,13,Maruti
1743,665000,25000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5,4,Tata
1744,555000,52000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,4,Volkswagen
1745,560000,52000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,4,Volkswagen
1746,375000,80000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6,5,Mahindra
1748,2950000,50000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7,4,Toyota
1749,605000,127000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,4,Maruti
1750,720000,30000,Petrol,Individual,Manual,First Owner,17.5,1199,88.7,5,4,Honda
1751,800000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,4,Maruti
1752,1325000,54000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7,4,Mahindra
1753,625000,120000,Diesel,Individual,Manual,Second Owner,10.5,2835,116.9,6,10,Mitsubishi
1754,350000,116500,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5,10,Hyundai
1755,600000,145000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.0,8,9,Toyota
1756,300000,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5,9,Hyundai
1757,240000,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.1,7,10,Tata
1758,377000,80000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5,5,Ford
1759,450000,140000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,7,8,Maruti
1760,160000,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.9,1599,103.2,5,13,Hyundai
1761,525000,100000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,2,Hyundai
1762,550000,168000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8,10,Toyota
1763,270000,120000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,5,11,Chevrolet
1764,570000,145000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.05,5,5,Toyota
1765,225000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,5,10,Ford
1766,590000,90000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,2,Hyundai
1767,1675000,80000,Diesel,Individual,Manual,First Owner,17.1,1956,170.0,5,3,Jeep
1768,800000,33000,Petrol,Dealer,Manual,First Owner,19.4,1194,94.93,5,2,Ford
1769,450000,13500,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5,7,Chevrolet
1770,300000,80000,Diesel,Individual,Manual,First Owner,17.0,1405,70.0,5,9,Tata
1771,645000,20000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,4,Hyundai
1772,520000,58000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,8,Maruti
1773,200000,40000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,8,Hyundai
1774,700000,30000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,6,Honda
1775,45000,50000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,21,Maruti
1776,459999,73000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5,5,Ford
1777,325000,90000,Diesel,Individual,Manual,Second Owner,23.2,1248,73.94,5,7,Maruti
1778,350000,50000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5,6,Maruti
1779,440000,80000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.3,5,10,Hyundai
1780,320000,70000,Diesel,Individual,Manual,Second Owner,21.9,1396,90.0,5,10,Hyundai
1781,169000,41000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,10,Chevrolet
1782,350000,50000,Petrol,Individual,Manual,Fourth & Above Owner,16.47,1198,73.9,5,8,Volkswagen
1783,350000,113226,Diesel,Dealer,Manual,First Owner,19.68,1399,67.0,5,7,Ford
1784,310000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.1,5,8,Ford
1786,420000,160500,Diesel,Individual,Manual,Fourth & Above Owner,13.5,2179,115.0,5,11,Mahindra
1787,685000,30000,Petrol,Individual,Automatic,First Owner,19.12,1373,91.1,5,6,Maruti
1788,560000,132000,Diesel,Individual,Manual,Second Owner,19.72,1461,108.45,5,7,Renault
1789,470000,120000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,5,8,Maruti
1790,380000,80000,Petrol,Individual,Manual,Second Owner,16.2,1599,103.2,5,10,Hyundai
1791,670000,57000,Diesel,Individual,Manual,Second Owner,15.4,1997,120.0,7,6,Mahindra
1792,550000,5000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5,3,Maruti
1793,749000,25000,Petrol,Individual,Manual,First Owner,17.01,1591,121.3,5,5,Hyundai
1794,899000,80000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5,6,Hyundai
1795,290000,88000,Diesel,Individual,Manual,Third Owner,16.52,1991,123.7,5,10,Chevrolet
1796,869999,217000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,7,7,Toyota
1797,350000,60000,Petrol,Individual,Manual,First Owner,20.62,1198,67.0,7,6,Datsun
1798,500000,43000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,4,Maruti
1799,400000,77000,Diesel,Individual,Automatic,Second Owner,21.66,1498,103.6,5,7,Skoda
1800,260000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,5,Renault
1801,220000,40000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5,6,Maruti
1802,190000,139000,Diesel,Individual,Manual,Second Owner,18.2,1248,73.8,8,7,Chevrolet
1803,400000,80000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,5,Hyundai
1804,170000,76000,Diesel,Individual,Manual,Second Owner,25.44,936,56.3,5,7,Chevrolet
1805,650000,3500,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,2,Hyundai
1806,60000,62000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,14,Maruti
1807,300000,110000,Petrol,Individual,Manual,Second Owner,12.0,2092,127.0,7,14,Tata
1808,125000,40000,Petrol,Individual,Manual,Second Owner,16.2,995,62.1,5,9,Chevrolet
1810,500000,1500000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,9,Mahindra
1811,170000,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,10,Maruti
1812,310000,77000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,9,Maruti
1813,130000,110000,Petrol,Individual,Manual,Second Owner,18.0,995,62.0,5,10,Chevrolet
1814,465000,20000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,5,Maruti
1816,800000,120005,Diesel,Individual,Automatic,Second Owner,11.0,2987,198.5,5,16,Mercedes-Benz
1817,260000,16830,Petrol,Individual,Manual,First Owner,20.2,998,67.1,5,9,Maruti
1818,500000,70000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,8,Mahindra
1819,325000,38000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,4,Renault
1820,400000,80000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,8,Mahindra
1821,3200000,50000,Diesel,Individual,Manual,First Owner,14.24,2755,174.5,7,3,Toyota
1822,200000,50000,Diesel,Individual,Manual,First Owner,17.88,1396,52.8,5,14,Tata
1823,450000,52000,Diesel,Individual,Manual,First Owner,17.21,1493,100.0,7,8,Mahindra
1824,229999,50000,Diesel,Individual,Manual,First Owner,17.0,1405,70.0,5,9,Tata
1825,340000,30000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,5,Hyundai
1826,550000,103000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,7,Mahindra
1827,975000,93468,Diesel,Individual,Automatic,Second Owner,11.4,2953,153.86,7,10,Ford
1828,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5,2,Volvo
1829,225000,80000,Petrol,Individual,Manual,Second Owner,14.0,1595,102.0,5,11,Volkswagen
1830,3250000,12000,Diesel,Individual,Automatic,First Owner,10.91,3198,197.0,7,3,Ford
1831,280000,70000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5,8,Tata
1832,700000,4500,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5,2,Honda
1833,259000,35000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,9,Tata
1834,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7,3,Toyota
1835,1400000,30000,Diesel,Individual,Manual,First Owner,16.0,1997,140.0,7,3,Mahindra
1836,416000,40000,Petrol,Individual,Automatic,First Owner,17.01,1499,110.4,5,6,Ford
1837,250000,70000,Diesel,Individual,Manual,First Owner,19.0,1248,90.0,5,10,Tata
1838,210000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,11,Tata
1839,290000,120000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,8,13,Mahindra
1840,220000,90000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,9,Tata
1841,246000,35000,Diesel,Individual,Manual,Second Owner,23.03,1396,69.0,5,9,Tata
1842,260000,30000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,3,Maruti
1843,1050000,70000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5,3,Hyundai
1844,290000,60000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5,9,Tata
1845,310000,70000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5,8,Tata
1846,700000,6000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,3,Hyundai
1847,550000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,5,Maruti
1848,450000,70000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,4,Tata
1849,773000,65000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5,5,Honda
1850,450000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,4,Tata
1851,409999,10000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,2,Maruti
1852,45000,35000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4,18,Maruti
1853,600000,80000,Petrol,Individual,Automatic,Second Owner,11.07,2496,179.5,5,7,Nissan
1854,250000,63000,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,5,11,Chevrolet
1855,70000,100000,Diesel,Individual,Manual,First Owner,16.8,1405,62.0,5,13,Tata
1856,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,2,Honda
1857,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5,3,Audi
1858,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,2,Lexus
1859,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5,4,Jaguar
1860,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5,4,Jeep
1861,1000000,4295,Petrol,Trustmark Dealer,Manual,First Owner,17.1,1496,105.5,5,3,Toyota
1862,1000000,5229,Petrol,Trustmark Dealer,Manual,First Owner,17.1,1496,105.5,5,3,Toyota
1863,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5,5,Toyota
1864,925000,23712,Diesel,Trustmark Dealer,Manual,First Owner,28.09,1248,88.5,5,3,Maruti
1865,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5,5,Honda
1866,430000,16589,Petrol,Trustmark Dealer,Manual,First Owner,20.51,998,67.04,5,3,Maruti
1867,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7,8,Toyota
1868,675000,53201,Petrol,Trustmark Dealer,Manual,Second Owner,17.8,1497,117.3,5,5,Honda
1869,570000,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01,1197,81.8,5,4,Maruti
1870,850000,53619,Diesel,Trustmark Dealer,Manual,First Owner,24.3,1248,88.5,5,4,Maruti
1871,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,2,BMW
1872,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,2,BMW
1873,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199,88.76,5,2,Honda
1874,640000,6001,Petrol,Dealer,Manual,First Owner,15.9,1496,120.69,5,3,Ford
1875,250000,80000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,8,Tata
1876,1250000,12000,Diesel,Individual,Manual,First Owner,19.6,1461,108.45,5,3,Renault
1877,889000,25000,Petrol,Individual,Manual,First Owner,17.0,1497,121.31,5,4,Ford
1878,750000,40000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5,4,Hyundai
1879,320000,130000,Diesel,Individual,Manual,Third Owner,17.8,1248,75.0,5,11,Maruti
1880,600000,202000,Diesel,Individual,Manual,First Owner,17.67,1968,138.08,5,10,Skoda
1881,1000000,40000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,3,Maruti
1882,110000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,5,21,Maruti
1883,250000,120000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5,13,Honda
1884,600000,60000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,6,Maruti
1885,165000,60000,Petrol,Individual,Manual,First Owner,19.0,998,67.1,5,12,Maruti
1886,118000,60000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,17,Maruti
1887,700000,78000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5,5,Maruti
1888,585000,80000,Diesel,Individual,Manual,Second Owner,20.46,1461,83.8,5,8,Renault
1889,120000,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,15,Maruti
1890,65000,90000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4,18,Maruti
1891,150000,100000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,15,Maruti
1892,150000,70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,12,Maruti
1893,170000,160000,Diesel,Individual,Manual,Third Owner,13.1,1493,82.0,5,17,Hyundai
1894,250000,120000,Diesel,Individual,Manual,Third Owner,10.5,2179,120.0,8,15,Mahindra
1895,100000,100000,Diesel,Individual,Manual,Third Owner,13.1,1493,82.0,5,16,Hyundai
1896,599000,60000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,8,Maruti
1897,250000,135000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,5,11,Chevrolet
1898,570000,90000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,5,Maruti
1899,440000,75000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5,8,Volkswagen
1900,300000,185000,Diesel,Individual,Manual,Second Owner,11.4,2494,100.6,7,16,Toyota
1901,300000,71717,Petrol,Individual,Automatic,Second Owner,19.34,1198,76.0,5,6,Nissan
1902,500000,150000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,10,Mahindra
1903,660000,55000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,5,Maruti
1904,256000,90000,Petrol,Individual,Manual,Second Owner,15.3,1596,99.6,5,9,Ford
1905,409999,35000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,3,Renault
1906,1888000,120000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7,6,Toyota
1907,250000,100000,LPG,Individual,Manual,Second Owner,13.45,1086,62.1,5,10,Hyundai
1908,280000,40000,Petrol,Individual,Automatic,Third Owner,12.9,1799,130.0,5,12,Honda
1909,300000,100000,Diesel,Individual,Manual,First Owner,13.0,2489,95.0,8,11,Mahindra
1910,900000,120000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,5,5,Tata
1911,190000,60000,Petrol,Individual,Manual,First Owner,19.0,998,67.1,5,7,Maruti
1912,800000,2000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,2,Mahindra
1913,450000,100000,Diesel,Individual,Manual,First Owner,14.0,2523,75.0,8,9,Mahindra
1914,400000,110000,Diesel,Individual,Manual,First Owner,14.95,2489,93.7,7,6,Mahindra
1915,150000,90000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,7,12,Tata
1916,200000,84321,Diesel,Individual,Manual,First Owner,23.57,1396,70.0,5,10,Tata
1917,600000,177000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,8,Mahindra
1918,175000,60000,Diesel,Individual,Manual,First Owner,18.0,1248,75.0,5,11,Tata
1919,99000,205000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,5,13,Tata
1920,215000,70000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,13,Hyundai
1922,520000,126000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,8,Renault
1923,2280000,120000,Diesel,Individual,Automatic,Second Owner,10.91,3198,197.0,7,5,Ford
1924,285000,70000,Diesel,Individual,Manual,First Owner,19.1,1405,70.0,5,6,Tata
1925,660000,82000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7,4,Mahindra
1926,31504,110000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4,17,Maruti
1927,515000,45000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5,6,Maruti
1928,295000,70000,Diesel,Individual,Manual,Second Owner,21.64,1461,84.8,5,9,Nissan
1929,700000,80000,Diesel,Individual,Manual,Second Owner,20.45,1461,83.8,5,6,Nissan
1930,1100000,45000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,7,4,Mahindra
1931,300000,60000,Petrol,Individual,Manual,First Owner,20.3,998,68.05,5,4,Hyundai
1932,450000,41800,Petrol,Individual,Manual,First Owner,18.6,1197,85.8,5,8,Maruti
1934,700000,50000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,5,4,Maruti
1935,250000,40000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,9,Ford
1936,140000,96000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,12,Maruti
1937,250000,117000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,8,9,Mahindra
1938,210000,110000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5,10,Hyundai
1939,420000,100000,Diesel,Individual,Manual,Second Owner,25.8,1498,98.6,5,7,Honda
1940,130000,88700,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,14,Maruti
1941,320000,70000,Petrol,Individual,Manual,Second Owner,16.95,1498,97.7,5,9,Nissan
1942,200000,110000,Petrol,Individual,Manual,Second Owner,17.3,1061,64.0,5,11,Maruti
1943,310000,15000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,5,Maruti
1944,200000,80000,Diesel,Individual,Manual,Second Owner,20.8,1461,65.0,5,9,Mahindra
1945,350000,50000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5,7,Maruti
1946,444000,15000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,3,Hyundai
1947,300000,25000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5,4,Datsun
1948,225000,57000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5,10,Mahindra
1949,600000,75000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,9,Mahindra
1950,260000,26000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,8,Maruti
1951,375000,160000,Diesel,Individual,Manual,First Owner,24.4,1120,71.01,5,6,Hyundai
1952,260000,26000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,8,Maruti
1953,150000,120000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,11,Maruti
